id,psnr,ssim,frac_out_of_range,lpips
002751.npy,25.516355514526367,0.6612034440040588,0.0,0.24832630157470703
002768.npy,29.268814086914062,0.9081959128379822,0.0,0.16445280611515045
002784.npy,27.449254989624023,0.7516372203826904,0.0,0.2357853800058365
002786.npy,25.369739532470703,0.7509713172912598,0.0,0.1646706610918045
002844.npy,25.816144943237305,0.5667744874954224,0.0,0.36996302008628845
002847.npy,30.609451293945312,0.7702859044075012,0.0,0.3245951533317566
002880.npy,33.52530288696289,0.8537798523902893,0.0,0.3663471043109894
002909.npy,29.72549819946289,0.6828647255897522,0.0,0.3565088212490082
002932.npy,27.81574058532715,0.8117892742156982,0.0,0.16654226183891296
002937.npy,27.02448272705078,0.6663947701454163,0.0,0.28922808170318604
002972.npy,33.868892669677734,0.9126331806182861,0.0,0.08326777070760727
002985.npy,25.97632598876953,0.44534963369369507,0.0,0.3520508110523224
003004.npy,25.524137496948242,0.7777076363563538,0.0,0.194125235080719
003015.npy,35.20062255859375,0.9508485198020935,0.0,0.16721616685390472
003017.npy,27.897653579711914,0.4423476457595825,0.0,0.6520522832870483
003033.npy,23.520763397216797,0.5528669357299805,0.0,0.33224087953567505
003041.npy,26.23377799987793,0.8475542068481445,0.0,0.18043459951877594
003044.npy,20.679927825927734,0.251071959733963,0.0,0.7551171183586121
003050.npy,35.318538665771484,0.9348719120025635,0.0,0.10067672282457352
003062.npy,29.375028610229492,0.8737884163856506,0.0,0.1600480079650879
003096.npy,24.05172348022461,0.6820825934410095,0.0,0.2700900733470917
003100.npy,24.18433952331543,0.7528694272041321,0.0,0.24364584684371948
003131.npy,29.845857620239258,0.6543940305709839,0.0,0.33109158277511597
003168.npy,30.066404342651367,0.7435346245765686,0.0,0.265688955783844
003196.npy,25.550325393676758,0.7652680277824402,0.0,0.2642025351524353
